id,timestamp,question,answer,correct,expected_answer,retrieved_lesson_ids,notes
1,2026-05-16T18:42:46.711635+00:00,"Who wrote the novel ""Do Androids Dream of Electric Sheep?""",Philip K. Dick,1,Philip K. Dick,,string_match
2,2026-05-16T18:42:48.061708+00:00,"Who wrote the novella ""Rita Hayworth and Shawshank Redemption""?",Stephen King,1,Stephen King,,string_match
3,2026-05-16T18:42:49.436997+00:00,"Who wrote the novel ""Frankenstein""?",Mary Shelley,1,Mary Shelley,,string_match
4,2026-05-16T18:42:50.743957+00:00,Who composed the score for the original 1977 Star Wars film?,John Williams,1,John Williams,,string_match
5,2026-05-16T18:42:51.801368+00:00,"Who illustrated the original ""Where the Wild Things Are""?",Maurice Sendak,1,Maurice Sendak,,string_match
6,2026-05-16T18:45:26.230408+00:00,"Who wrote the novel ""Do Androids Dream of Electric Sheep?""",Philip K. Dick,1,Philip K. Dick,,string_match
7,2026-05-16T18:45:27.884424+00:00,"Who wrote the novella ""Rita Hayworth and Shawshank Redemption""?",Stephen King,1,Stephen King,,string_match
8,2026-05-16T18:45:28.938924+00:00,"Who wrote the novel ""Frankenstein""?",Mary Shelley,1,Mary Shelley,,string_match
9,2026-05-16T18:45:29.834074+00:00,Who composed the score for the original 1977 Star Wars film?,John Williams,1,John Williams,,string_match
10,2026-05-16T18:45:31.185903+00:00,"Who illustrated the original ""Where the Wild Things Are""?",Maurice Sendak,1,Maurice Sendak,,string_match
11,2026-05-16T18:45:32.667532+00:00,"Which was founded first, Microsoft or Apple?",Microsoft,0,Apple,,llm_judge
